Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
4.403964686393737793e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.504068017005920410e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.604170989990234375e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.704273605346679688e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.392800000000000082e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.804377317428588867e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.904481410980224609e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.004577708244323730e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.399200000000000088e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.104681015014648438e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.204751801490783691e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.399200000000000088e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.304855012893676758e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.404957890510559082e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.505061697959899902e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.605164885520935059e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.705267715454101562e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.805317497253417969e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.905420303344726562e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.392800000000000082e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.005522918701171875e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.396000000000000085e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.105626106262207031e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.205728888511657715e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.305831599235534668e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.405934000015258789e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.396000000000000085e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.506006813049316406e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.606109189987182617e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.396000000000000085e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.706212091445922852e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.806214809417724609e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.396000000000000085e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.906317090988159180e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.399200000000000088e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.006420302391052246e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.106523418426513672e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.206626701354980469e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
